Week,TeamH,TeamV,Dan,Lauren,Patrick,Claire,CC
15,MIA,NYG,,,,,
15,MIN,LAC,,,,,
15,NE,CIN,,,,,
15,NYJ,BAL,,,,,
15,PHI,WSH,,,,,
15,SEA,CAR,,,,,
15,TB,DET,,,,,
16,ARI,SEA,,,,,
16,BAL,CLE,,,,,
16,BUF,NE,,,,,
16,CAR,IND,,,,,
16,CIN,MIA,,,,,
16,DAL,PHI,,,,,
16,DET,DEN,,,,,
16,GB,MIN,,,,,
16,HOU,TB,,,,,
16,JAX,ATL,,,,,
16,KC,CHI,,,,,
16,LAR,SF,,,,,
16,NO,TEN,,,,,
16,NYG,WSH,,,,,
16,OAK,LAC,,,,,
16,PIT,NYJ,,,,,
17,ARI,LAR,,,,,
17,ATL,TB,,,,,
17,CHI,MIN,,,,,
17,CLE,CIN,,,,,
17,GB,DET,,,,,
17,IND,JAX,,,,,
17,LAC,KC,,,,,
17,MIA,NE,,,,,
17,NO,CAR,,,,,
17,NYJ,BUF,,,,,
17,OAK,DEN,,,,,
17,PHI,NYG,,,,,
17,PIT,BAL,,,,,
17,SF,SEA,,,,,
17,TEN,HOU,,,,,
17,WSH,DAL,,,,,
